split,p_kpa,tip_y_mm,tip_angle_rad
train,10.0,23.215267509839503,0.17472335468841008
train,17.0,39.20605279617179,0.2970297029702971
train,24.0,54.79581339780638,0.4193360512521842
train,31.0,69.8261051950298,0.5416423995340712
train,38.0,84.14522848328033,0.663948747815958
train,45.0,97.6100474361919,0.7862550960978452
train,52.0,110.08769949722345,0.9085614443797322
train,59.0,121.45717283220763,1.0308677926616192
val,66.0,131.6107317302442,1.1531741409435063
val,73.0,140.45517186174112,1.2754804892253935
val,80.0,147.91288956261056,1.3977868375072806
test,87.0,153.92275178193898,1.520093185789167
test,94.0,158.440755973383,1.642399534071054
